s1_path,s1_label,s1_snr,s2_path,s2_label,s2_snr,s3_path,s3_label,s3_snr,s4_path,s4_label,s4_snr,s5_path,s5_label,s5_snr
/work107/luoxiaoxue/data/VGGSound/audios_16k/1XZHJgCwJ3w_000030.wav,speech,-1.584828819130989,/work107/luoxiaoxue/data/VGGSound/audios_16k/u1VU31k7UKQ_000020.wav,music,-0.23375522842336816,/work107/luoxiaoxue/data/VGGSound/audios_16k/Ix_q_PbsC7k_000030.wav,music,-1.066407892741361,/work107/luoxiaoxue/data/VGGSound/audios_16k/5z-8lQ4wcUU_000030.wav,music,0.09815676512382954,/work107/luoxiaoxue/data/VGGSound/audios_16k/7W3cwaYDvJ0_000530.wav,others,1.9155494158473525
/work107/luoxiaoxue/data/VGGSound/audios_16k/WUWgTMSWs3I_000030.wav,music,-0.7033542754000108,/work107/luoxiaoxue/data/VGGSound/audios_16k/WBFQa1SC-Mk_000030.wav,music,1.9249017316275738,/work107/luoxiaoxue/data/VGGSound/audios_16k/m_7BjYa44lo_000030.wav,speech,-0.37192379277163923,/work107/luoxiaoxue/data/VGGSound/audios_16k/95nGPztdBDg_000030.wav,speech,2.6536437367101406,/work107/luoxiaoxue/data/VGGSound/audios_16k/-hch-89rAbc_000530.wav,music,-1.2858684031341618
/work107/luoxiaoxue/data/VGGSound/audios_16k/cruLD13KOQA_000050.wav,speech,1.4989667902298711,/work107/luoxiaoxue/data/VGGSound/audios_16k/mjL6hXqvUpo_000019.wav,music,-1.3701247686374387,/work107/luoxiaoxue/data/VGGSound/audios_16k/M6XAA4Rz1vs_000090.wav,music,-2.835714374590715,/work107/luoxiaoxue/data/VGGSound/audios_16k/1WWPdIr91b8_000000.wav,others,1.2097162191133988,/work107/luoxiaoxue/data/VGGSound/audios_16k/_imIQdMKbpI_000190.wav,music,-1.2129872835713622
/work107/luoxiaoxue/data/VGGSound/audios_16k/NmBQ5cEAxUY_000200.wav,others,2.9363553791854686,/work107/luoxiaoxue/data/VGGSound/audios_16k/BStmOULYCAw_000030.wav,speech,1.3577317793214831,/work107/luoxiaoxue/data/VGGSound/audios_16k/8dpKnu4fk40_000030.wav,speech,0.8339086872923271,/work107/luoxiaoxue/data/VGGSound/audios_16k/KsfEOaJdvko_000110.wav,speech,2.0253423198889475,/work107/luoxiaoxue/data/VGGSound/audios_16k/fLQDFiMiMrA_000030.wav,music,1.7102468983286157
/work107/luoxiaoxue/data/VGGSound/audios_16k/0woZIMV4oUY_000020.wav,music,-0.3506612735811121,/work107/luoxiaoxue/data/VGGSound/audios_16k/hUtvRhzGWjI_000011.wav,music,-2.488625833970923,/work107/luoxiaoxue/data/VGGSound/audios_16k/tSKxRQT0qLM_000070.wav,others,-1.5217854863409697,/work107/luoxiaoxue/data/VGGSound/audios_16k/7-3hcXY0pyk_000030.wav,speech,-2.5181004403955405,/work107/luoxiaoxue/data/VGGSound/audios_16k/QiFqRkx0qh8_000060.wav,music,-1.9088801390931918
/work107/luoxiaoxue/data/VGGSound/audios_16k/0Msrgi5zP78_000030.wav,speech,-2.4345426381959,/work107/luoxiaoxue/data/VGGSound/audios_16k/axTjcZTgy6w_000316.wav,music,-1.9438451460717328,/work107/luoxiaoxue/data/VGGSound/audios_16k/31zqGonKYR0_000009.wav,others,-1.0524825093953827,/work107/luoxiaoxue/data/VGGSound/audios_16k/ej9bFm_MUNA_000250.wav,speech,-0.7665259245118801,/work107/luoxiaoxue/data/VGGSound/audios_16k/UPnFeMwOTnA_000010.wav,others,0.8270275866479841
/work107/luoxiaoxue/data/VGGSound/audios_16k/cr286hPgqlU_000450.wav,speech,-0.8289816787980149,/work107/luoxiaoxue/data/VGGSound/audios_16k/L4-88JF6ppc_000040.wav,music,1.484045576851555,/work107/luoxiaoxue/data/VGGSound/audios_16k/D0o8vEFgjTY_000030.wav,speech,-0.5164243685357119,/work107/luoxiaoxue/data/VGGSound/audios_16k/wNQ3qOpy2Eo_000150.wav,others,-1.5578648153351793,/work107/luoxiaoxue/data/VGGSound/audios_16k/czqshbPTwKQ_000450.wav,music,-2.7136953206269885
/work107/luoxiaoxue/data/VGGSound/audios_16k/CAKLJuAn-TY_000030.wav,speech,-0.4310371997823328,/work107/luoxiaoxue/data/VGGSound/audios_16k/tSUHuIDOf1c_000480.wav,music,1.7249851885818508,/work107/luoxiaoxue/data/VGGSound/audios_16k/ur33zPD9BCc_000070.wav,music,2.915653641451212,/work107/luoxiaoxue/data/VGGSound/audios_16k/b-JsZ9Qy1dA_000030.wav,music,2.9742837778748523,/work107/luoxiaoxue/data/VGGSound/audios_16k/lN5rRrKcuVo_000030.wav,music,-1.3495557399729432
/work107/luoxiaoxue/data/VGGSound/audios_16k/2MGt89ZJCLY_000450.wav,music,-0.11703401376184974,/work107/luoxiaoxue/data/VGGSound/audios_16k/u8S0BnBnwt0_000030.wav,speech,-0.32154234051879094,/work107/luoxiaoxue/data/VGGSound/audios_16k/ZfXfS6JpFSg_000030.wav,music,-1.0431215424566236,/work107/luoxiaoxue/data/VGGSound/audios_16k/iETRoK0dKxs_000020.wav,others,-0.13647472598310184,/work107/luoxiaoxue/data/VGGSound/audios_16k/RgIOsd6K1vA_000000.wav,others,-0.7574094698475022
/work107/luoxiaoxue/data/VGGSound/audios_16k/z-YS0dwc8ic_000550.wav,music,-2.3497895921039262,/work107/luoxiaoxue/data/VGGSound/audios_16k/SKzerhkLfiE_000030.wav,speech,0.38801216603654254,/work107/luoxiaoxue/data/VGGSound/audios_16k/lzUUEO0k66U_000020.wav,others,2.20427163898169,/work107/luoxiaoxue/data/VGGSound/audios_16k/oxBBPdHNQLs_000050.wav,music,-2.6072321808346284,/work107/luoxiaoxue/data/VGGSound/audios_16k/POYRdof8qBQ_000070.wav,speech,1.0416485135567903
