s1_path,s1_label,s1_snr,s2_path,s2_label,s2_snr,s3_path,s3_label,s3_snr,s4_path,s4_label,s4_snr
/work107/luoxiaoxue/data/VGGSound/audios_16k/h9wQusLNjTE_000150.wav,music,-0.19790651973138473,/work107/luoxiaoxue/data/VGGSound/audios_16k/_kjeVEhUsmg_000170.wav,music,2.2373861749836523,/work107/luoxiaoxue/data/VGGSound/audios_16k/8FuapXeWka0_000030.wav,speech,1.1113816804470469,/work107/luoxiaoxue/data/VGGSound/audios_16k/oYkaBFH58wU_000080.wav,speech,-0.7928051664158753
/work107/luoxiaoxue/data/VGGSound/audios_16k/JLPpMZlBOEI_000038.wav,music,-2.4617349951119922,/work107/luoxiaoxue/data/VGGSound/audios_16k/mmUxB3e9cQ4_000140.wav,speech,-1.7886735408605334,/work107/luoxiaoxue/data/VGGSound/audios_16k/RY_R3ni1kVo_000030.wav,others,-1.5644234912474348,/work107/luoxiaoxue/data/VGGSound/audios_16k/rbLik11Vr30_000020.wav,speech,-0.17869747321718732
/work107/luoxiaoxue/data/VGGSound/audios_16k/LLBH0ARrqvc_000030.wav,music,-0.4695703175307737,/work107/luoxiaoxue/data/VGGSound/audios_16k/wrHAtO2Db_8_000000.wav,music,-1.6725521169889108,/work107/luoxiaoxue/data/VGGSound/audios_16k/-eSomY6i3_A_000030.wav,speech,-2.623822142185004,/work107/luoxiaoxue/data/VGGSound/audios_16k/s3XpZTnDUKA_000040.wav,music,-1.6396132957990364
/work107/luoxiaoxue/data/VGGSound/audios_16k/gTTLRReWORg_000027.wav,music,-1.9656227196440628,/work107/luoxiaoxue/data/VGGSound/audios_16k/KByrSI7JkJs_000030.wav,music,-0.25579080000810883,/work107/luoxiaoxue/data/VGGSound/audios_16k/donkH2x20no_000050.wav,music,0.03480286173810754,/work107/luoxiaoxue/data/VGGSound/audios_16k/DozDiVlLrgI_000000.wav,speech,0.7727382363922399
/work107/luoxiaoxue/data/VGGSound/audios_16k/hcmet53kp5A_000000.wav,speech,2.4129639199609993,/work107/luoxiaoxue/data/VGGSound/audios_16k/5sfjb1wtia0_000000.wav,music,-0.9908982301321005,/work107/luoxiaoxue/data/VGGSound/audios_16k/YLX_s-XOxxY_000041.wav,speech,-1.1655056603161487,/work107/luoxiaoxue/data/VGGSound/audios_16k/uAl-gZBDR1c_000020.wav,music,-0.4908098669495944
/work107/luoxiaoxue/data/VGGSound/audios_16k/W1TxcJ6XStI_000217.wav,music,1.469507366948708,/work107/luoxiaoxue/data/VGGSound/audios_16k/3sp7-5pJXYg_000030.wav,speech,2.537670222755551,/work107/luoxiaoxue/data/VGGSound/audios_16k/z5Z1Hzn34SE_000050.wav,music,-1.1821409926873516,/work107/luoxiaoxue/data/VGGSound/audios_16k/CvCX0KW2Wow_000030.wav,speech,1.6763711111545936
/work107/luoxiaoxue/data/VGGSound/audios_16k/l0IRxx2HYnE_000230.wav,music,0.803916619846226,/work107/luoxiaoxue/data/VGGSound/audios_16k/-lyVixrALq4_000220.wav,music,-0.7162252270711988,/work107/luoxiaoxue/data/VGGSound/audios_16k/Zf6rhwIte6A_000010.wav,others,2.5805275410286965,/work107/luoxiaoxue/data/VGGSound/audios_16k/xojzNzHGvJk_000010.wav,speech,2.434852617779847
/work107/luoxiaoxue/data/VGGSound/audios_16k/-m-gudHhLxc_000030.wav,speech,1.7935827735366372,/work107/luoxiaoxue/data/VGGSound/audios_16k/m7QpM6yMkiE_000360.wav,music,-0.650603308477959,/work107/luoxiaoxue/data/VGGSound/audios_16k/ZsAembAtOE0_000421.wav,music,1.0246049063284914,/work107/luoxiaoxue/data/VGGSound/audios_16k/VlwX5g40d0U_000170.wav,speech,2.092065354908576
/work107/luoxiaoxue/data/VGGSound/audios_16k/pU_7kq5w62w_000030.wav,speech,-1.7902696129592717,/work107/luoxiaoxue/data/VGGSound/audios_16k/HjHEu6aovFw_000235.wav,music,-2.0978530471326,/work107/luoxiaoxue/data/VGGSound/audios_16k/S41W4yoZOd8_000030.wav,music,-0.8528360060823994,/work107/luoxiaoxue/data/VGGSound/audios_16k/3ZErCskXIHs_000150.wav,music,1.880566282807445
/work107/luoxiaoxue/data/VGGSound/audios_16k/nAiFReBoQBg_000510.wav,others,0.8874581687506238,/work107/luoxiaoxue/data/VGGSound/audios_16k/iAykQrBfy68_000021.wav,music,-0.20236591804329285,/work107/luoxiaoxue/data/VGGSound/audios_16k/v-idMEjAAQM_000460.wav,others,-1.3850000933435676,/work107/luoxiaoxue/data/VGGSound/audios_16k/ssvTzup-aW4_000170.wav,music,2.1756367611333527
