s1_path,s1_label,s1_snr,s2_path,s2_label,s2_snr,s3_path,s3_label,s3_snr
/work107/luoxiaoxue/data/VGGSound/audios_16k/9qXd_D7LDp8_000300.wav,music,-2.0615881636732953,/work107/luoxiaoxue/data/VGGSound/audios_16k/4kKxHaFKeBU_000030.wav,speech,-1.5980275663339227,/work107/luoxiaoxue/data/VGGSound/audios_16k/nuZi57LcDyw_000110.wav,music,2.7697620171989294
/work107/luoxiaoxue/data/VGGSound/audios_16k/AozUEZS5HHQ_000030.wav,speech,1.6915890293144997,/work107/luoxiaoxue/data/VGGSound/audios_16k/n2bfcoyFwrM_000060.wav,others,-1.6205532002078404,/work107/luoxiaoxue/data/VGGSound/audios_16k/BtzZ8ABXn1A_000180.wav,speech,1.949653014581986
/work107/luoxiaoxue/data/VGGSound/audios_16k/O1llCKeWM9A_000021.wav,music,2.6014053859354718,/work107/luoxiaoxue/data/VGGSound/audios_16k/LCBC3QNeT8c_000010.wav,speech,1.1832024500626641,/work107/luoxiaoxue/data/VGGSound/audios_16k/Bkx-g0MHnUs_000020.wav,music,-2.6114788565081577
/work107/luoxiaoxue/data/VGGSound/audios_16k/5aeln5iT_0Y_000030.wav,speech,-2.3784587970278483,/work107/luoxiaoxue/data/VGGSound/audios_16k/1iJPZfS8U9M_000050.wav,music,0.46261286917730216,/work107/luoxiaoxue/data/VGGSound/audios_16k/4LsKECJAmR4_000030.wav,speech,-1.1546819768400016
/work107/luoxiaoxue/data/VGGSound/audios_16k/e5JMq9-qTxs_000000.wav,speech,1.2475614509307524,/work107/luoxiaoxue/data/VGGSound/audios_16k/h_AaexPNN8Y_000370.wav,others,-1.8223225742417397,/work107/luoxiaoxue/data/VGGSound/audios_16k/8MKTRCRz5mU_000030.wav,speech,2.3537222132001077
/work107/luoxiaoxue/data/VGGSound/audios_16k/Cp0QRW1Lis4_000070.wav,speech,-0.22236880782915058,/work107/luoxiaoxue/data/VGGSound/audios_16k/Cutn-OnqkvU_000178.wav,music,2.890359585099688,/work107/luoxiaoxue/data/VGGSound/audios_16k/Camg3w9ElXc_000120.wav,speech,-2.8054834512401134
/work107/luoxiaoxue/data/VGGSound/audios_16k/5jl2mBBPgWg_000030.wav,speech,-0.4692586677875017,/work107/luoxiaoxue/data/VGGSound/audios_16k/AcvHsHyQWaM_000017.wav,others,-2.635740691237912,/work107/luoxiaoxue/data/VGGSound/audios_16k/DXrykPu_baA_000030.wav,speech,-0.8395391746600147
/work107/luoxiaoxue/data/VGGSound/audios_16k/l-LFC9e5b-g_000030.wav,music,0.3145743262377372,/work107/luoxiaoxue/data/VGGSound/audios_16k/GboBmTdNr3Q_000079.wav,others,-0.5866940305322186,/work107/luoxiaoxue/data/VGGSound/audios_16k/4dDQq_dDp0k_000030.wav,others,-1.6091240289544821
/work107/luoxiaoxue/data/VGGSound/audios_16k/dGcPn8_zfsA_000180.wav,speech,-1.7863521822745532,/work107/luoxiaoxue/data/VGGSound/audios_16k/wExA89T9KHI_000310.wav,music,1.4316829278770946,/work107/luoxiaoxue/data/VGGSound/audios_16k/WUWgTMSWs3I_000030.wav,music,-1.0851780792223906
/work107/luoxiaoxue/data/VGGSound/audios_16k/TTqXHL8qeL4_000020.wav,others,0.7701830850857618,/work107/luoxiaoxue/data/VGGSound/audios_16k/5ed5055CkmQ_000120.wav,music,2.2721120717405885,/work107/luoxiaoxue/data/VGGSound/audios_16k/yACr1W--FeI_000000.wav,music,-0.10786812408159197
